"","emoji","url","label","color"
"112","🌊","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/water-wave_1f30a.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/water-wave_1f30a.png' width='25'/>","#DFF0EF"
"113","🌎","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/earth-globe-americas_1f30e.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/earth-globe-americas_1f30e.png' width='25'/>","#25316C"
"114","🌳","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/deciduous-tree_1f333.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/deciduous-tree_1f333.png' width='25'/>","#41631D"
"115","🌷","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/tulip_1f337.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/tulip_1f337.png' width='25'/>","#F33C5E"
"116","🍖","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/meat-on-bone_1f356.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/meat-on-bone_1f356.png' width='25'/>","#963507"
"117","🍗","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/poultry-leg_1f357.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/poultry-leg_1f357.png' width='25'/>","#522311"
"118","🍲","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/pot-of-food_1f372.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/pot-of-food_1f372.png' width='25'/>","#CCCFCC"
"119","🎂","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/birthday-cake_1f382.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/birthday-cake_1f382.png' width='25'/>","#FFF5BC"
"120","🎶","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/multiple-musical-notes_1f3b6.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/multiple-musical-notes_1f3b6.png' width='25'/>","#3F4448"
"121","🏃","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/runner_1f3c3.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/runner_1f3c3.png' width='25'/>","#696969"
"122","🏡","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/house-with-garden_1f3e1.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/house-with-garden_1f3e1.png' width='25'/>","#FFF3C9"
